model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,fourier_features,scale
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1106.6418708688923,146.62219666474985,0.020205846056342125,2.472264051437378,0.001,3,32,2,1,cuda,1000,64,10
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1377.0428380187416,146.62219666474985,0.024148155003786087,2.4747962951660156,0.001,3,32,2,1,cuda,1000,64,20
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1701.1793567499162,146.62219666474985,0.025493953377008438,2.4760987758636475,0.001,3,32,2,1,cuda,1000,64,20
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1482.5703621778782,146.62219666474985,0.025216415524482727,2.554755210876465,0.001,3,32,2,1,cuda,1000,64,20
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1251.322617292085,146.62219666474985,0.022666482254862785,2.473050832748413,0.001,3,32,2,1,cuda,1000,64,20
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1361.385594461178,146.62219666474985,0.026011642068624496,2.4723191261291504,0.001,3,32,2,1,cuda,1000,64,20
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1405.0186945699465,241.37835279267907,0.022621139883995056,3.89288330078125,0.001,3,32,2,1,cuda,2000,32,10
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1827.3068994728915,241.37835279267907,0.023899855092167854,3.8939106464385986,0.001,3,32,2,1,cuda,2000,32,10
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1325.9380882906626,241.37835279267907,0.022115252912044525,3.9132306575775146,0.001,3,32,2,1,cuda,2000,32,10
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1246.707257415077,241.37835279267907,0.022043202072381973,3.890772819519043,0.001,3,32,2,1,cuda,2000,32,10
