model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,input_scale,weight_scale,alpha,beta
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,232.07475736278448,3.716399854245111,0.0042413873597979546,80.28665685653687,0.001,3,256,3,1,cuda,1000,256.0,1.0,1.0,1.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,814.1932547899933,3.716399854245111,0.012208819389343262,80.29089689254761,0.001,3,256,3,1,cuda,1000,256.0,1.0,1.0,6.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,875.8405758450468,3.716399854245111,0.012231869623064995,80.28575825691223,0.001,3,256,3,1,cuda,1000,256.0,1.0,1.0,6.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,689.4138467934237,3.716399854245111,0.01055606734007597,80.30725932121277,0.001,3,256,3,1,cuda,1000,256.0,1.0,1.0,6.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,644.2131089462015,3.716399854245111,0.011043701320886612,80.2876443862915,0.001,3,256,3,1,cuda,1000,256.0,1.0,1.0,6.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,680.5293923088186,3.716399854245111,0.0126600107178092,80.29392766952515,0.001,3,256,3,1,cuda,1000,256.0,1.0,1.0,6.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,178.7936969231091,3.716399854245111,0.0024736353661864996,80.2916522026062,0.001,3,256,3,1,cuda,1000,256.0,1.0,6.0,1.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,206.36630114206827,3.716399854245111,0.002701550954952836,80.28856444358826,0.001,3,256,3,1,cuda,1000,256.0,1.0,6.0,1.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,148.8116110274431,3.716399854245111,0.0024405778385698795,80.28624892234802,0.001,3,256,3,1,cuda,1000,256.0,1.0,6.0,1.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,111.89546467118474,3.716399854245111,0.0023548922035843134,80.28686118125916,0.001,3,256,3,1,cuda,1000,256.0,1.0,6.0,1.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,127.00311794051204,3.716399854245111,0.0024871600326150656,80.28915619850159,0.001,3,256,3,1,cuda,1000,256.0,1.0,6.0,1.0
