model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,outermost_linear
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,22.721758502896183,0.027948640286922455,7.254784345626831,0.001,3,128,3,1,cuda,500,False
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,22.721758502896183,0.030112989246845245,7.2534894943237305,0.001,3,128,3,1,cuda,500,False
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,22.721758502896183,0.027558481320738792,7.255056619644165,0.001,3,128,3,1,cuda,500,False
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,22.721758502896183,0.02703043445944786,7.255992412567139,0.001,3,128,3,1,cuda,500,False
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,22.721758502896183,0.02771807089447975,7.255018472671509,0.001,3,128,3,1,cuda,500,False
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,22.721758502896183,0.027932997792959213,14.47122597694397,0.001,3,128,3,1,cuda,1000,True
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,22.721758502896183,0.0300874263048172,14.470401763916016,0.001,3,128,3,1,cuda,1000,True
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,22.721758502896183,0.026943309232592583,14.473385572433472,0.001,3,128,3,1,cuda,1000,True
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,22.721758502896183,0.026960529386997223,14.470416069030762,0.001,3,128,3,1,cuda,1000,True
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,22.721758502896183,0.027650222182273865,14.472188472747803,0.001,3,128,3,1,cuda,1000,True
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,22.721758502896183,0.027942748740315437,14.50554895401001,0.001,3,128,3,1,cuda,1000,False
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,22.721758502896183,0.03008725307881832,14.504021883010864,0.001,3,128,3,1,cuda,1000,False
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,22.721758502896183,0.026991698890924454,14.506793737411499,0.001,3,128,3,1,cuda,1000,False
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,22.721758502896183,0.026901181787252426,14.504695653915405,0.001,3,128,3,1,cuda,1000,False
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,22.721758502896183,0.027483344078063965,14.505346059799194,0.001,3,128,3,1,cuda,1000,False
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,22.721758502896183,0.02790357917547226,28.940984964370728,0.001,3,128,3,1,cuda,2000,True
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,22.721758502896183,0.03002901002764702,28.93901538848877,0.001,3,128,3,1,cuda,2000,True
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,22.721758502896183,0.027030734345316887,28.947359085083008,0.001,3,128,3,1,cuda,2000,True
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,22.721758502896183,0.026923425495624542,28.93735671043396,0.001,3,128,3,1,cuda,2000,True
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,22.721758502896183,0.027621645480394363,28.940025091171265,0.001,3,128,3,1,cuda,2000,True
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,22.721758502896183,0.027730010449886322,29.007609367370605,0.001,3,128,3,1,cuda,2000,False
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,22.721758502896183,0.029993196949362755,29.0074360370636,0.001,3,128,3,1,cuda,2000,False
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,22.721758502896183,0.02696574479341507,29.011282682418823,0.001,3,128,3,1,cuda,2000,False
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,22.721758502896183,0.026904549449682236,29.00924062728882,0.001,3,128,3,1,cuda,2000,False
