model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,zero_fraction,refresh_interval,outermost_linear
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,14508.091016409388,22.721758502896183,0.20058362185955048,2.635934829711914,0.001,3,128,3,1,cuda,1000,0.1,1000,False
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,17182.03161866215,22.721758502896183,0.2461518794298172,2.6945931911468506,0.001,3,128,3,1,cuda,1000,0.1,1000,False
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,409.73134334211846,22.721758502896183,0.00777702871710062,6.12555718421936,0.001,3,128,3,1,cuda,1000,0.5,1,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,539.9467087098394,22.721758502896183,0.009144386276602745,6.144595146179199,0.001,3,128,3,1,cuda,1000,0.5,1,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,447.50464488160975,22.721758502896183,0.008345861919224262,6.073864698410034,0.001,3,128,3,1,cuda,1000,0.5,1,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,384.69237758324965,22.721758502896183,0.007864386774599552,6.080594301223755,0.001,3,128,3,1,cuda,1000,0.5,1,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,408.4524190512048,22.721758502896183,0.008395356126129627,6.103960275650024,0.001,3,128,3,1,cuda,1000,0.5,1,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,12705.645860786897,22.721758502896183,0.20210835337638855,6.152621269226074,0.001,3,128,3,1,cuda,1000,0.5,1,False
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,4225.296112836763,22.721758502896183,0.06012377515435219,6.156704664230347,0.001,3,128,3,1,cuda,1000,0.5,1,False
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,6233.880692038989,22.721758502896183,0.0996333584189415,6.089284896850586,0.001,3,128,3,1,cuda,1000,0.5,1,False
