model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,sample_fraction,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,412.7073646147088,22.721758502896183,0.009867594577372074,6.028599977493286,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,349.46015572707495,22.721758502896183,0.007461938541382551,5.962983131408691,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,333.4520595402443,22.721758502896183,0.008211970329284668,5.943425893783569,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,409.89743217662317,22.721758502896183,0.009068078361451626,5.955550909042358,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,15,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,332.64082763345044,22.721758502896183,0.007979693822562695,5.954759836196899,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,16,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,326.5368348393574,22.721758502896183,0.007340580690652132,5.972805023193359,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,17,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,306.42791347682396,22.721758502896183,0.007057899609208107,5.965313911437988,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,18,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,314.4907010855924,22.721758502896183,0.007380273658782244,5.984665870666504,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,19,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,334.4093130333835,22.721758502896183,0.00816159974783659,5.976396560668945,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,20,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,337.4905298276439,22.721758502896183,0.008139264769852161,5.954909086227417,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,21,outer/12-2_8-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,323.51796508952475,22.721758502896183,0.0073975673876702785,5.968438386917114,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,22,outer/12-2_9-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,399.33442755396584,22.721758502896183,0.009137929417192936,5.9958336353302,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,23,outer/12-2_10-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,379.61268380814926,22.721758502896183,0.00888504832983017,5.958868741989136,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,24,outer/12-2_11-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,293.9861725548025,22.721758502896183,0.007059016730636358,5.963879823684692,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,25,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,251.1409465988956,22.721758502896183,0.005857786629348993,5.951141119003296,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,26,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,263.9371261086011,22.721758502896183,0.005540481768548489,5.95326828956604,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,27,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,223.50082883617804,22.721758502896183,0.004474195651710033,5.952030658721924,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,28,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,210.91820668089022,22.721758502896183,0.004850243218243122,5.941546440124512,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,29,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,272.2898050535475,22.721758502896183,0.006134561728686094,5.950669527053833,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,30,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,236.47173067269077,22.721758502896183,0.005864677485078573,5.938060283660889,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,31,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,227.3453279262885,22.721758502896183,0.00544603681191802,5.98223090171814,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,32,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,315.2585929656124,22.721758502896183,0.00626021483913064,5.953725099563599,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,33,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,246.76608648134203,22.721758502896183,0.005772382486611605,5.947686433792114,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,34,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,195.59307542670683,22.721758502896183,0.004131339490413666,5.94259786605835,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,35,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,199.14927548736614,22.721758502896183,0.0045977686531841755,5.96931529045105,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,36,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,193.5698170285308,22.721758502896183,0.004456337541341782,5.957983493804932,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,37,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,173.27623384161646,22.721758502896183,0.0037040847819298506,5.947159290313721,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,38,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,198.9907154660308,22.721758502896183,0.004988775588572025,5.981848955154419,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,39,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,214.47126265478582,22.721758502896183,0.005022670608013868,6.005455017089844,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,40,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,284.7757985065261,22.721758502896183,0.005810164380818605,5.962095499038696,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,41,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,310.53305670599065,22.721758502896183,0.006760867778211832,5.965658664703369,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,42,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,201.39065376087683,22.721758502896183,0.004443820100277662,5.969645261764526,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,43,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,179.02248969837683,22.721758502896183,0.0037800187710672617,5.963297605514526,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,44,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,201.93002870858433,22.721758502896183,0.004686073865741491,5.961019277572632,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,45,outer/12-2_8-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,274.3776041666667,22.721758502896183,0.005624535493552685,5.948977470397949,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,46,outer/12-2_9-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,222.3686529974063,22.721758502896183,0.004295650403946638,5.941685914993286,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,47,outer/12-2_10-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,172.9624592118474,22.721758502896183,0.0038996527437120676,5.9536120891571045,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,48,outer/12-2_11-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,221.9430966051707,22.721758502896183,0.004750947933644056,5.961360216140747,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,49,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_3.npy,425.3003171540328,22.721758502896183,0.009419555775821209,5.947688579559326,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,50,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_3.npy,390.6106156396419,22.721758502896183,0.008864262141287327,5.937101125717163,0.001,3,128,3,1,cuda,0.2,2000,True,100,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,278.89985201221555,22.721758502896183,0.006212487351149321,8.047737121582031,0.001,3,128,3,1,cuda,0.3,2000,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,385.2331735797356,22.721758502896183,0.00852876715362072,8.059073686599731,0.001,3,128,3,1,cuda,0.3,2000,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,297.70521670013386,22.721758502896183,0.007241538725793362,8.056406497955322,0.001,3,128,3,1,cuda,0.3,2000,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,268.88542581785475,22.721758502896183,0.0064444574527442455,8.061642169952393,0.001,3,128,3,1,cuda,0.3,2000,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,297.0476816118641,22.721758502896183,0.007338622584939003,8.054848909378052,0.001,3,128,3,1,cuda,0.3,2000,True,100,45
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,410.0671422669846,22.721758502896183,0.0094365319237113,8.055877208709717,0.001,3,128,3,1,cuda,0.3,2000,True,100,45
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,308.90809461805554,22.721758502896183,0.0071188174188137054,8.05831265449524,0.001,3,128,3,1,cuda,0.3,2000,True,100,45
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,371.6166828773427,22.721758502896183,0.008958622813224792,8.057111024856567,0.001,3,128,3,1,cuda,0.3,2000,True,100,45
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,353.5079236215696,22.721758502896183,0.007962491363286972,8.05276870727539,0.001,3,128,3,1,cuda,0.3,2000,True,100,45
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,458.5563935429217,22.721758502896183,0.010355285368859768,8.061280250549316,0.001,3,128,3,1,cuda,0.3,2000,True,100,45
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,370.0782518093206,22.721758502896183,0.008873019367456436,8.058286666870117,0.001,3,128,3,1,cuda,0.3,2000,True,100,45
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,320.8736678484772,22.721758502896183,0.006763797719031572,8.058647871017456,0.001,3,128,3,1,cuda,0.3,2000,True,100,45
