model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,input_scale,weight_scale
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1069.9482278070616,83.57128810226155,0.019266409799456596,2.9714207649230957,0.001,3,64,2,1,cuda,500,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,957.7682226301038,83.57128810226155,0.018629834055900574,2.9711899757385254,0.001,3,64,2,1,cuda,500,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,910.5483378827811,83.57128810226155,0.018608424812555313,2.9717917442321777,0.001,3,64,2,1,cuda,500,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1054.0260795787317,83.57128810226155,0.01819157600402832,5.940150499343872,0.001,3,64,2,1,cuda,1000,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1282.520319559488,83.57128810226155,0.019977230578660965,5.941587209701538,0.001,3,64,2,1,cuda,1000,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,998.1710997636379,83.57128810226155,0.017980525270104408,5.939904451370239,0.001,3,64,2,1,cuda,1000,256.0,1.0
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,921.6321954484605,83.57128810226155,0.018032805994153023,5.940467834472656,0.001,3,64,2,1,cuda,1000,256.0,1.0
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,886.2790863976741,83.57128810226155,0.01836300455033779,5.940438747406006,0.001,3,64,2,1,cuda,1000,256.0,1.0
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1045.847577811245,83.57128810226155,0.018119676038622856,11.883171319961548,0.001,3,64,2,1,cuda,2000,256.0,1.0
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1236.904695605338,83.57128810226155,0.019107138738036156,11.87789011001587,0.001,3,64,2,1,cuda,2000,256.0,1.0
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,957.7156660496152,83.57128810226155,0.017251329496502876,11.9181547164917,0.001,3,64,2,1,cuda,2000,256.0,1.0
