model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,sample_fraction,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero,original_psnr
SIREN,47,outer/12-2_10-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,217.5574890708668,22.721758502896183,0.0047811050899326,3.625080823898315,0.001,128,3,0.1,2000,True,100,45,36.821775109835805
SIREN,48,outer/12-2_11-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,270.77357215319614,22.721758502896183,0.0058347494341433,3.622076988220215,0.001,128,3,0.1,2000,True,100,45,35.87145274382215
SIREN,49,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_3.npy,486.8543810659304,22.721758502896183,0.0098923733457922,3.619523286819458,0.001,128,3,0.1,2000,True,100,45,33.32352466313034
SIREN,50,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_3.npy,439.379914188002,22.721758502896183,0.0097584696486592,3.64251971244812,0.001,128,3,0.1,2000,True,100,45,33.76911349065387
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,329.15220517486614,22.721758502896183,0.0077519370242953,5.973553895950317,0.001,128,3,0.2,2000,True,100,45,35.02354779747414
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,400.5470161897591,22.721758502896183,0.0089974086731672,5.952866315841675,0.001,128,3,0.2,2000,True,100,45,34.17098047889049
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,322.46955399723896,22.721758502896183,0.0077346600592136,5.947679758071899,0.001,128,3,0.2,2000,True,100,45,35.112628318273664
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,313.237609291332,22.721758502896183,0.0076255183666944,5.942419767379761,0.001,128,3,0.2,2000,True,100,45,35.238776481043566
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,318.6824890708668,22.721758502896183,0.0076669827103614,5.9596757888793945,0.001,128,3,0.2,2000,True,100,45,35.1639334820151
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,405.0074203062249,22.721758502896183,0.0096144033595919,5.965774297714233,0.001,128,3,0.2,2000,True,100,45,34.12288568593098
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,354.1615616110274,22.721758502896183,0.0082434397190809,5.945386648178101,0.001,128,3,0.2,2000,True,100,45,34.70550124849503
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,392.4242320845884,22.721758502896183,0.009357925504446,6.049280881881714,0.001,128,3,0.2,2000,True,100,45,34.259957316705645
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,367.234742354836,22.721758502896183,0.0083751007914543,5.944637298583984,0.001,128,3,0.2,2000,True,100,45,34.548077877323045
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,499.0991400497825,22.721758502896183,0.0109167275950312,5.9515135288238525,0.001,128,3,0.2,2000,True,100,45,33.21564727191803
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,412.7073646147088,22.721758502896183,0.009867594577372,6.028599977493286,0.001,128,3,0.2,2000,True,100,45,34.04109329991462
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,349.46015572707495,22.721758502896183,0.0074619385413825,5.962983131408691,0.001,128,3,0.2,2000,True,100,45,34.76353882660525
SIREN,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,333.4520595402443,22.721758502896183,0.0082119703292846,5.943425893783569,0.001,128,3,0.2,2000,True,100,45,34.96718144618653
SIREN,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,409.8974321766232,22.721758502896183,0.0090680783614516,5.955550909042358,0.001,128,3,0.2,2000,True,100,45,34.07076351102006
