model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,sample_fraction,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero,original_psnr
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,320.9189623075636,22.721758502896183,0.007474219892174,4.006655693054199,0.001,128,3,0.3,1000,True,100,45,35.133561695268845
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,293.1604373222055,22.721758502896183,0.0066659930162131,4.0055224895477295,0.001,128,3,0.3,1000,True,100,45,35.52646187886569
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,307.8459436705154,22.721758502896183,0.0070893019437789,4.055459976196289,0.001,128,3,0.3,1000,True,100,45,35.31418113279472
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,296.84590575845044,22.721758502896183,0.0068635595962405,4.0310680866241455,0.001,128,3,0.3,1000,True,100,45,35.472204854621445
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,304.255695960927,22.721758502896183,0.0069639352150261,4.009058952331543,0.001,128,3,0.3,1000,True,100,45,35.36512831376099
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,343.67833181685074,22.721758502896183,0.0082463640719652,4.117252349853516,0.001,128,3,0.3,1000,True,100,45,34.835993971041745
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,314.4472904639391,22.721758502896183,0.007133265491575,4.009353399276733,0.001,128,3,0.3,1000,True,100,45,35.22203691924275
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,300.64380830614124,22.721758502896183,0.0072483369149267,4.004090785980225,0.001,128,3,0.3,1000,True,100,45,35.41699284693891
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,294.5781289219378,22.721758502896183,0.0066992989741265,4.004623174667358,0.001,128,3,0.3,1000,True,100,45,35.50551049441458
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,328.40601860567267,22.721758502896183,0.0074966428801417,4.004141569137573,0.001,128,3,0.3,1000,True,100,45,35.03340441052693
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,303.6375920348059,22.721758502896183,0.0070703369565308,4.030315399169922,0.001,128,3,0.3,1000,True,100,45,35.37396010125293
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,323.0866146879183,22.721758502896183,0.0076672863215208,4.003028869628906,0.001,128,3,0.3,1000,True,100,45,35.104325829735004
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,316.0490987387048,22.721758502896183,0.0070421323180198,4.005818128585815,0.001,128,3,0.3,1000,True,100,45,35.199969925572404
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,295.61283545640896,22.721758502896183,0.0068192658945918,4.006404638290405,0.001,128,3,0.3,1000,True,100,45,35.49028261646229
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,321.014086293089,22.721758502896183,0.0073728137649595,4.0040602684021,0.001,128,3,0.3,1000,True,100,45,35.13227458838432
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,304.5593742156124,22.721758502896183,0.00692745950073,4.003144264221191,0.001,128,3,0.3,1000,True,100,45,35.360795773136346
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,304.15448774263723,22.721758502896183,0.0069036902859807,5.022498846054077,0.001,128,3,0.4,1000,True,100,45,35.36657319986938
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,303.27442321368807,22.721758502896183,0.0071661258116364,5.0130696296691895,0.001,128,3,0.4,1000,True,100,45,35.37915763334567
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,302.335249853581,22.721758502896183,0.0068441517651081,5.013340711593628,0.001,128,3,0.4,1000,True,100,45,35.39262763400649
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,306.1584031438253,22.721758502896183,0.0068274047225713,5.01369309425354,0.001,128,3,0.4,1000,True,100,45,35.338053647310545
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,304.59275644243644,22.721758502896183,0.0070284097455441,5.11147141456604,0.001,128,3,0.4,1000,True,100,45,35.36031977654409
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,305.0490686705154,22.721758502896183,0.0071801487356424,5.01385498046875,0.001,128,3,0.4,1000,True,100,45,35.35381845358609
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,312.4073376840696,22.721758502896183,0.0070532578974962,5.029266357421875,0.001,128,3,0.4,1000,True,100,45,35.250303229271374
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,292.92898678045515,22.721758502896183,0.0067134210839867,5.0114805698394775,0.001,128,3,0.4,1000,True,100,45,35.529891993595875
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,314.6543687771921,22.721758502896183,0.0071300803683698,5.017373561859131,0.001,128,3,0.4,1000,True,100,45,35.2191778273712
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,300.04301189131525,22.721758502896183,0.0071798502467572,5.013247013092041,0.001,128,3,0.4,1000,True,100,45,35.42568032420456
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,295.0815919929719,22.721758502896183,0.0069479681551456,5.042865037918091,0.001,128,3,0.4,1000,True,100,45,35.498094309148065
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,320.2242067227242,22.721758502896183,0.0075507722795009,5.014830350875855,0.001,128,3,0.4,1000,True,100,45,35.14297390300783
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,315.7451890896921,22.721758502896183,0.0068948687985539,5.012816667556763,0.001,128,3,0.4,1000,True,100,45,35.2041480669797
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,293.5916596071787,22.721758502896183,0.0068216393701732,5.06530237197876,0.001,128,3,0.4,1000,True,100,45,35.52007834846042
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,306.30302590570614,22.721758502896183,0.0069394595921039,5.01381254196167,0.001,128,3,0.4,1000,True,100,45,35.33600261631885
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,320.018617438504,22.721758502896183,0.007472887635231,5.009990453720093,0.001,128,3,0.4,1000,True,100,45,35.145763041483875
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,302.38948371611446,22.721758502896183,0.006927634589374,5.012901544570923,0.001,128,3,0.4,1000,True,100,45,35.391848652562985
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,306.33247312165327,22.721758502896183,0.0071406103670597,5.01335883140564,0.001,128,3,0.4,1000,True,100,45,35.33558511640501
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,314.6416237868139,22.721758502896183,0.0072951158508658,5.0189595222473145,0.001,128,3,0.4,1000,True,100,45,35.219353740742946
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,305.23621961805554,22.721758502896183,0.0068972813896834,5.120046615600586,0.001,128,3,0.4,1000,True,100,45,35.35115482633152
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,296.82086810784807,22.721758502896183,0.0067537440918385,6.013653516769409,0.001,128,3,0.5,1000,True,100,45,35.472571178424005
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,292.74614734981594,22.721758502896183,0.0067368163727223,6.012619733810425,0.001,128,3,0.5,1000,True,100,45,35.53260360464962
