model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,zero_percent,outermost_linear,original_psnr
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1343.472235295348,5.757182102133744,0.0092973290011286,11.829825162887571,0.001,256,3,100,0.5,True,28.91522853198959
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1418.560063169344,5.757182102133744,0.0089883953332901,12.70653486251831,0.001,256,3,100,0.5,True,28.67903819808451
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1636.1389464106426,5.757182102133744,0.0050741387531161,51.82270646095276,0.001,256,3,500,0.5,True,28.05931366120626
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1855.7420515394915,5.757182102133744,0.0062617929652333,47.79202127456665,0.001,256,3,500,0.5,True,27.51233939695907
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1491.83359479585,5.757182102133744,0.0056788562797009,54.53474044799805,0.001,256,3,500,0.5,True,28.460311659068168
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1509.409378399013,5.757182102133744,0.0048947669565677,46.99498462677002,0.001,256,3,500,0.5,True,28.40944504705531
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1524.447626443273,5.757182102133744,0.0052788988687098,59.363669872283936,0.001,256,3,500,0.5,True,28.366390403263658
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1727.015405371486,5.757182102133744,0.0047598555684089,98.3676962852478,0.001,256,3,1000,0.5,True,27.824553371764765
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1900.1088337725903,5.757182102133744,0.0050413724966347,100.37675428390504,0.001,256,3,1000,0.5,True,27.409730717336217
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1560.8286845297855,5.757182102133744,0.0045137661509215,107.26782655715942,0.001,256,3,1000,0.5,True,28.26396310948971
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1563.5244885793172,5.757182102133744,0.0044752554967999,94.97801160812378,0.001,256,3,1000,0.5,True,28.256468610317068
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1545.9414520059404,5.757182102133744,0.0046301484107971,91.97889518737792,0.001,256,3,1000,0.5,True,28.305585065018786
