model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,fourier_features,scale,original_psnr
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1106.6418708688925,146.62219666474985,0.0202058460563421,2.472264051437378,0.001,32,2,1000,64,10,29.75744450624996
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1377.0428380187416,146.62219666474985,0.024148155003786,2.474796295166016,0.001,32,2,1000,64,20,28.808040979613104
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1701.1793567499162,146.62219666474985,0.0254939533770084,2.4760987758636475,0.001,32,2,1000,64,20,27.890014447133446
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1482.5703621778782,146.62219666474985,0.0252164155244827,2.554755210876465,0.001,32,2,1000,64,20,28.487362348046897
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1251.322617292085,146.62219666474985,0.0226664822548627,2.473050832748413,0.001,32,2,1000,64,20,29.223822543843042
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1361.385594461178,146.62219666474985,0.0260116420686244,2.4723191261291504,0.001,32,2,1000,64,20,28.857703979731095
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1405.0186945699463,241.37835279267907,0.022621139883995,3.89288330078125,0.001,32,2,2000,32,10,28.72069445953354
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1827.3068994728917,241.37835279267907,0.0238998550921678,3.893910646438599,0.001,32,2,2000,32,10,27.579400547510367
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1325.9380882906626,241.37835279267907,0.0221152529120445,3.913230657577514,0.001,32,2,2000,32,10,28.972283026330686
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1246.707257415077,241.37835279267907,0.0220432020723819,3.890772819519043,0.001,32,2,2000,32,10,29.239870611383523
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1206.1842644013554,241.37835279267907,0.0238796528428792,3.8795437812805176,0.001,32,2,2000,32,10,29.38337890299738
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1604.434274859856,241.37835279267907,0.0263756643980741,3.901798725128174,0.001,32,2,2000,32,20,28.14429617706604
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1758.9186446306055,241.37835279267907,0.0274528190493583,3.9592339992523193,0.001,32,2,2000,32,20,27.745057962937672
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1480.5497680827475,241.37835279267907,0.0255476497113704,3.911120653152466,0.001,32,2,2000,32,20,28.49328538162721
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1426.9993659533968,241.37835279267907,0.0260271169245243,3.936915397644043,0.001,32,2,2000,32,20,28.653277686188076
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1372.563008544595,241.37835279267907,0.0265428107231855,3.922356367111206,0.001,32,2,2000,32,20,28.822192585701828
