lr,hidden_features,hidden_layers,max_iters,fourier_features,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.0001,64,4,2000,32,1183.1104150978915,45.79036216701586,0.019583381619304372,9.900187301635743,29.574823959993108,FFNet
0.0001,64,4,2000,64,851.4370732931727,36.77361665304553,0.01466746255755419,10.983662462234497,31.06931730575396,FFNet
0.0001,128,2,100,32,1576.6233469032381,30.644926084692123,0.02841559927910562,0.5516653776168823,28.248197493973997,FFNet
0.0001,128,2,100,64,1576.6303364499665,23.07266310741109,0.028321955911815112,0.6329679727554322,28.24816340745981,FFNet
0.0001,128,2,500,32,1576.4813547157378,30.644926084692123,0.027500331401824913,2.7442475318908692,28.248609159939758,FFNet
0.0001,128,2,500,64,1517.6091702748495,23.07266310741109,0.02531766090542072,3.1514531135559083,28.421466636300558,FFNet
0.0001,128,2,1000,32,1445.0978770550953,30.644926084692123,0.02483008988201614,5.48397159576416,28.655617696281247,FFNet
0.0001,128,2,1000,64,1263.4699080174864,23.07266310741109,0.02158918734639878,6.307108092308044,29.315580079734662,FFNet
0.0001,128,2,2000,32,1208.4702152359437,30.644926084692123,0.021067810058593713,10.964705562591552,29.498183331006505,FFNet
0.0001,128,2,2000,64,930.1951928808987,23.07266310741109,0.01664234027266496,12.594513607025146,30.71473719915584,FFNet
0.0001,128,3,100,32,1576.5815663696453,18.443999710655124,0.02806179597973817,0.8393559455871582,28.24830084306793,FFNet
0.0001,128,3,100,64,1576.5815663696453,15.401751736635456,0.02785270363092419,0.919083046913147,28.24830084306793,FFNet
0.0001,128,3,500,32,1489.517390394913,18.443999710655124,0.025721192359924278,4.169694328308106,28.526289601803956,FFNet
0.0001,128,3,500,64,1231.706840513094,15.401751736635456,0.021219974011182748,4.583457899093628,29.4349873381724,FFNet
0.0001,128,3,1000,32,1243.4007723602745,18.443999710655124,0.02138628400862213,8.337942028045655,29.353825141907727,FFNet
0.0001,128,3,1000,64,800.3646881798026,15.401751736635456,0.013553530350327431,9.15848104953766,31.325319954886037,FFNet
0.0001,128,3,2000,32,935.8769408362617,18.443999710655124,0.014565343130379872,16.66977002620697,30.651707045889708,FFNet
0.0001,128,3,2000,64,704.7552573575551,15.401751736635456,0.0080511495005339,18.31671588420868,32.29405385528165,FFNet
0.0001,128,4,100,32,1576.5815663696453,13.191825472104856,0.0279476840049028,1.1272928953170775,28.24830084306793,FFNet
0.0001,128,4,100,64,1576.5815663696453,11.558819529443763,0.02794464305043215,1.2108780860900878,28.24830084306793,FFNet
0.0001,128,4,500,32,1327.889875648427,13.191825472104856,0.02273851409554476,5.600883674621582,29.05204382431156,FFNet
0.0001,128,4,500,64,1042.6570132090862,11.558819529443763,0.01804149998351926,6.0111994504928585,30.296347382299682,FFNet
