model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,input_scale,weight_scale,original_psnr
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,984.787561705154,56.373203625912005,0.0154369035735726,8.258830785751343,0.001,64,3,1000,256.0,1.0,30.26408994137219
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,767.8183018532463,56.373203625912005,0.0138773219659924,8.258944034576416,0.001,64,3,1000,256.0,1.0,31.344930889420162
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,703.560148144662,56.373203625912005,0.0138286678120493,8.30710768699646,0.001,64,3,1000,256.0,1.0,31.72450317087737
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,653.5477391336178,56.373203625912005,0.0139259146526455,8.261606216430664,0.001,64,3,1000,256.0,1.0,32.04474232160311
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,797.8487988411981,56.373203625912005,0.0136705320328474,16.513956308364868,0.001,64,3,2000,256.0,1.0,31.178309532192827
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,967.0358007551038,56.373203625912005,0.0149867888540029,16.51563334465027,0.001,64,3,2000,256.0,1.0,30.34308996315337
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,756.3931899472891,56.373203625912005,0.0136326635256409,16.516868114471436,0.001,64,3,2000,256.0,1.0,31.410039386702742
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,677.4810844942269,56.373203625912005,0.013266148045659,16.517975330352783,0.001,64,3,2000,256.0,1.0,31.88854374703244
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,642.519000481091,56.373203625912005,0.013563229702413,16.51766300201416,0.001,64,3,2000,256.0,1.0,32.118655736788085
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1025.157766482597,42.53144286905755,0.0176706407219171,1.0615909099578855,0.001,64,4,100,256.0,1.0,30.089608425554772
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1330.0235773824463,42.53144286905755,0.0215025376528501,1.0615172386169434,0.001,64,4,100,256.0,1.0,28.958922089756918
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1048.711376757028,42.53144286905755,0.0189003981649875,1.0611677169799805,0.001,64,4,100,256.0,1.0,29.990955693715023
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,893.7319473205321,42.53144286905755,0.0175209511071443,1.060314416885376,0.001,64,4,100,256.0,1.0,30.685442662748855
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,897.7864413382697,42.53144286905755,0.0183653216809034,1.060194969177246,0.001,64,4,100,256.0,1.0,30.665785065079113
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,679.593555210425,42.53144286905755,0.0116757992655038,5.290230989456177,0.001,64,4,500,256.0,1.0,31.87502297095422
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,821.6663594482095,42.53144286905755,0.0130003169178962,5.292244911193848,0.001,64,4,500,256.0,1.0,31.050560422548084
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,661.2376289010208,42.53144286905755,0.0119332196190953,5.294756889343262,0.001,64,4,500,256.0,1.0,31.99393988866049
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,583.297295954652,42.53144286905755,0.0118830678984522,5.291187524795532,0.001,64,4,500,256.0,1.0,32.53861585631597
FFNet2,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,556.0424458249665,42.53144286905755,0.012065976858139,5.314958572387695,0.001,64,4,500,256.0,1.0,32.74643603796615
FFNet2,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,641.909141775435,42.53144286905755,0.0111500537022948,10.577975273132324,0.001,64,4,1000,256.0,1.0,32.12277988016049
FFNet2,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,762.7197527087517,42.53144286905755,0.0124257458373904,10.577635049819946,0.001,64,4,1000,256.0,1.0,31.373865549923387
FFNet2,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,630.1569729438588,42.53144286905755,0.0111677637323737,10.577175855636597,0.001,64,4,1000,256.0,1.0,32.203028025012976
FFNet2,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,561.3733789323962,42.53144286905755,0.0111355502158403,10.5785870552063,0.001,64,4,1000,256.0,1.0,32.70499734798713
