model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,zero_fraction,refresh_interval,a,s,original_psnr
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,484.8438454338186,3.8504960811851583,0.0085012335330247,138.02412176132202,0.001,256,4,2000,1,1000,1.0,20.0,33.341496616828245
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1216.8283786186412,3.8504960811851583,0.0196565724909305,137.82426166534424,0.001,256,4,2000,1,1000,5.0,0.1,29.345222190783595
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1231.709851123243,3.8504960811851583,0.0194794069975614,137.8309087753296,0.001,256,4,2000,1,1000,5.0,0.1,29.2924313387438
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1235.5001215800703,3.8504960811851583,0.0203314200043678,137.9177207946777,0.001,256,4,2000,1,1000,5.0,0.1,29.27908756292002
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1118.8614144076305,3.8504960811851583,0.0198318772017955,137.865216255188,0.001,256,4,2000,1,1000,5.0,0.1,29.70975251948618
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1040.552080718708,3.8504960811851583,0.0193082708865404,137.8349916934967,0.001,256,4,2000,1,1000,5.0,0.1,30.024877267829208
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1331.201492166583,3.8504960811851583,0.0214844495058059,137.94337582588196,0.001,256,4,2000,1,1000,5.0,1.0,28.955077530120352
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1434.5182017131024,3.8504960811851583,0.0219716634601354,137.84618616104126,0.001,256,4,2000,1,1000,5.0,1.0,28.630454856563787
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1315.8416648364291,3.8504960811851583,0.0215917360037565,137.82776808738708,0.001,256,4,2000,1,1000,5.0,1.0,29.005479149791636
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1213.3491060596552,3.8504960811851583,0.0214058682322502,137.83090662956238,0.001,256,4,2000,1,1000,5.0,1.0,29.357657742633968
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1144.4649927836344,3.8504960811851583,0.0211336221545934,137.8546018600464,0.001,256,4,2000,1,1000,5.0,1.0,29.611490358748465
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,436.5728970569779,3.8504960811851583,0.0072282971814274,137.83774638175964,0.001,256,4,2000,1,1000,5.0,5.0,33.79694778053516
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,572.0253134935575,3.8504960811851583,0.0094209602102637,137.85104608535767,0.001,256,4,2000,1,1000,5.0,5.0,32.62336300975252
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,478.71102770456827,3.8504960811851583,0.0080851418897509,137.8513252735138,0.001,256,4,2000,1,1000,5.0,5.0,33.39678116655774
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,407.05764464106426,3.8504960811851583,0.0078432001173496,137.85099530220032,0.001,256,4,2000,1,1000,5.0,5.0,34.10095633456319
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,417.8226068335844,3.8504960811851583,0.0080260755494236,137.85436725616455,0.001,256,4,2000,1,1000,5.0,5.0,33.9875961442135
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,305.07915124037817,3.8504960811851583,0.004834720864892,137.84684300422668,0.001,256,4,2000,1,1000,5.0,10.0,35.353390192978665
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,276.0811775748829,3.8504960811851583,0.0046612522564828,137.94977259635925,0.001,256,4,2000,1,1000,5.0,10.0,35.78714750074275
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,219.09031961178044,3.8504960811851583,0.0039271395653486,137.83713626861572,0.001,256,4,2000,1,1000,5.0,10.0,36.791283598511306
